dataset,sample_id,prompt_id,model,prediction,ground_truth,correct,latency_seconds,generated_tokens,raw_response
pubmedqa,0,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.29323337000096217,2,yes
pubmedqa,1,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,no,False,0.2937014290073421,2,yes
pubmedqa,2,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.2532571109768469,2,yes
pubmedqa,3,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,no,no,True,0.2819026809884235,2,no
pubmedqa,4,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.252431297005387,2,yes
pubmedqa,5,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.2879614639969077,2,yes
pubmedqa,6,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,maybe,False,0.2635973079886753,2,yes
pubmedqa,7,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,no,False,0.28788197398534976,2,yes
pubmedqa,8,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,no,no,True,0.2421796999988146,2,no
pubmedqa,9,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.33786538100684993,2,yes
pubmedqa,10,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.2604482399765402,2,yes
pubmedqa,11,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,maybe,no,False,0.3082198110059835,2,maybe
pubmedqa,12,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.29318435202003457,2,yes
pubmedqa,13,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,no,no,True,0.28775407900684513,2,no
pubmedqa,14,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.25803989300038666,2,yes
pubmedqa,15,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.32659294200129807,2,yes
pubmedqa,16,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.2710866489796899,2,yes
pubmedqa,17,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.18911021001986228,2,yes
pubmedqa,18,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.2786580709798727,2,yes
pubmedqa,19,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.2934595620026812,2,yes
pubmedqa,20,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,no,yes,False,0.25388216000283137,2,no
pubmedqa,21,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.22185135702602565,2,yes
pubmedqa,22,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.2733137019968126,2,yes
pubmedqa,23,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.2763620569894556,2,yes
pubmedqa,24,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,yes,yes,True,0.28612767200684175,2,yes
pubmedqa,25,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,no,no,True,0.24383344399393536,2,no
pubmedqa,26,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,maybe,yes,False,0.28696268898784183,2,maybe
