dataset,sample_id,prompt_id,model,prediction,ground_truth,correct,latency_seconds,generated_tokens,raw_response
medmcqa,0,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,0,True,0.2046273619926069,2,A
medmcqa,1,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,0,False,0.19439220399362966,2,B
medmcqa,2,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,3,2,False,0.22876385701238178,2,D
medmcqa,3,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,2,2,True,0.18902631200035103,2,C
medmcqa,4,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,0,False,0.150525385979563,2,B
medmcqa,5,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,0,False,0.15132882099715061,2,B
medmcqa,6,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,2,0,False,0.16698694101069123,2,C
medmcqa,7,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,1,False,0.16891429599490948,2,A
medmcqa,8,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,2,1,False,0.15089130500564352,2,C
medmcqa,9,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,3,1,False,0.16604213800746948,2,D
medmcqa,10,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,1,True,0.15729219999047928,2,B
medmcqa,11,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,0,True,0.17051557102240622,2,A
medmcqa,12,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,1,True,0.15178525800001808,2,B
medmcqa,13,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,0,False,0.15336772697628476,2,B
medmcqa,14,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,0,False,0.1529415849945508,2,B
medmcqa,15,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,1,True,0.1652878809836693,2,B
medmcqa,16,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,0,True,0.17001231599715538,2,A
medmcqa,17,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,3,3,True,0.16573793700081296,2,D
medmcqa,18,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,0,False,0.1537798309873324,2,B
medmcqa,19,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,3,0,False,0.16577875401708297,2,D
medmcqa,20,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,1,False,0.1540758119954262,2,A
medmcqa,21,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,3,2,False,0.15300472200033255,2,D
medmcqa,22,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,0,True,0.15157381602330133,2,A
medmcqa,23,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,0,False,0.15290995000395924,2,B
medmcqa,24,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,3,False,0.15153498001745902,2,B
medmcqa,25,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,1,True,0.16845434697461314,2,B
medmcqa,26,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,2,0,False,0.1556432979996316,2,C
medmcqa,27,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,3,False,0.15233720498508774,2,A
medmcqa,28,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,0,True,0.16798558901064098,2,A
medmcqa,29,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,2,2,True,0.16633132699644193,2,C
medmcqa,30,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,0,False,0.15578048600582406,2,B
medmcqa,31,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,1,True,0.1667206659913063,2,B
medmcqa,32,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,0,True,0.15245076501742005,2,A
medmcqa,33,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,0,False,0.16643024899531156,2,B
medmcqa,34,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,3,False,0.1520383919996675,2,B
medmcqa,35,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,2,False,0.16376012499677017,2,A
medmcqa,36,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,1,True,0.16674444801174104,2,B
medmcqa,37,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,2,3,False,0.15200299400021322,2,C
medmcqa,38,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,2,False,0.1540963470179122,2,A
medmcqa,39,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,2,False,0.16680074800387956,2,B
medmcqa,40,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,1,False,0.15209512299043126,2,A
medmcqa,41,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,2,0,False,0.16887893198872916,2,C
medmcqa,42,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,2,3,False,0.15147876500850543,2,C
medmcqa,43,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,3,3,True,0.1563631389872171,2,D
medmcqa,44,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,0,True,0.15562881701043807,2,A
medmcqa,45,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,2,1,False,0.15262159798294306,2,C
medmcqa,46,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,2,1,False,0.153783961024601,2,C
medmcqa,47,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,2,0,False,0.16623921500286087,2,C
medmcqa,48,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,2,2,True,0.15455107498564757,2,C
medmcqa,49,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,2,2,True,0.1516291320149321,2,C
medmcqa,50,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,1,False,0.15519254899118096,2,A
medmcqa,51,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,2,2,True,0.15710021398263052,2,C
medmcqa,52,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,1,False,0.15294898298452608,2,A
medmcqa,53,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,0,True,0.1548179439851083,2,A
medmcqa,54,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,1,1,True,0.17033899101079442,2,B
medmcqa,55,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,2,2,True,0.15281342397793196,2,C
medmcqa,56,c6f01b71-fe30-41d3-8680-5d08d0b7dd15,qwen3-8b,0,2,False,0.15459186301450245,2,A
